annual_revenue,avg_monthly_balance,debt_service_monthly,credit_score,months_in_business,nsf_count_90d,prior_default,requested_amount,serious_delinquency
650000,42000,7500,715,60,0,0,100000,0
310000,8500,10500,620,18,4,0,125000,1
1200000,115000,18000,760,144,0,0,250000,0
480000,22000,9000,675,36,1,0,90000,0
270000,6000,11500,590,14,5,1,150000,1
830000,57000,12000,730,84,0,0,175000,0
390000,15000,9800,645,28,2,0,140000,1
950000,74000,15500,748,96,0,0,190000,0
520000,19500,12000,660,22,3,0,180000,1
710000,51000,8500,700,66,1,0,110000,0
240000,5000,9000,610,12,4,1,120000,1
1050000,92000,16000,755,132,0,0,225000,0
